date,consumption,recent_stock,pending_delivery
2020-01-01,120,150,100
2020-02-01,135,140,130
2020-03-01,142,130,145
2020-04-01,130,145,135
2020-05-01,145,130,150
2020-06-01,160,120,165
2020-07-01,175,110,180
2020-08-01,165,125,170
2020-09-01,155,135,160
2020-10-01,170,120,175
2020-11-01,185,110,190
2020-12-01,200,100,205
2021-01-01,180,120,185
2021-02-01,190,110,195
2021-03-01,205,100,210
2021-04-01,195,110,200
2021-05-01,210,95,215
2021-06-01,225,85,230
2021-07-01,240,75,245
2021-08-01,230,85,235
2021-09-01,220,95,225
2021-10-01,235,80,240
2021-11-01,250,70,255
2021-12-01,265,60,270
2022-01-01,245,80,250
2022-02-01,255,70,260
2022-03-01,270,60,275
2022-04-01,260,70,265
2022-05-01,275,55,280
2022-06-01,290,45,295
2022-07-01,305,35,310
2022-08-01,295,45,300
2022-09-01,285,55,290
2022-10-01,300,40,305
2022-11-01,315,30,320
2022-12-01,330,20,335
2023-01-01,310,40,315
2023-02-01,320,30,325
2023-03-01,335,25,340
2023-04-01,325,35,330
2023-05-01,340,20,345
2023-06-01,355,15,360
2023-07-01,370,10,375
2023-08-01,360,20,365
2023-09-01,350,30,355
2023-10-01,365,15,370
2023-11-01,380,10,385
2023-12-01,395,5,400
2024-01-01,375,25,380
2024-02-01,385,15,390
2024-03-01,400,10,405 